"Empresa";"Data";"Tipo Movimento";"Qtde Requisições";"Total Desconto";"Total Venda";
"2006";"28/03/2013 (Quinta-feira)";"Saída para Oficina";"0002";"0,00";"140,65";
"2006";"28/03/2013 (Quinta-feira)";"Saída por Venda Balcão";"0011";"83,09";"1.466,37";
"2006";"30/03/2013 (Sábado)";"Saída para Oficina";"0003";"0,00";"386,20";
"2006";"30/03/2013 (Sábado)";"Saída por Venda Balcão";"0009";"140,15";"1.347,60";
"2006";"01/04/2013 (Segunda-feira)";"Saída para Oficina";"0001";"0,00";"97,16";
"2006";"01/04/2013 (Segunda-feira)";"Saída por Venda Balcão";"0008";"328,09";"751,89";
"2006";"02/04/2013 (Terça-feira)";"Saída para Oficina";"0002";"0,00";"107,90";
"2006";"02/04/2013 (Terça-feira)";"Saída por Venda Balcão";"0002";"0,00";"406,55";
"2006";"03/04/2013 (Quarta-feira)";"Saída para Oficina";"0004";"0,24";"272,13";
"2006";"03/04/2013 (Quarta-feira)";"Saída para Uso Firma";"0001";"0,00";"21,86";
"2006";"03/04/2013 (Quarta-feira)";"Saída por Venda Balcão";"0006";"9,94";"210,90";
"2006";"04/04/2013 (Quinta-feira)";"Saída para Oficina";"0003";"67,75";"795,66";
"2006";"04/04/2013 (Quinta-feira)";"Saída por Venda Balcão";"0004";"86,90";"516,32";
"2006";"05/04/2013 (Sexta-feira)";"Saída para Oficina";"0002";"0,00";"498,60";
"2006";"05/04/2013 (Sexta-feira)";"Saída por Venda Balcão";"0008";"124,08";"630,75";
"2006";"06/04/2013 (Sábado)";"Saída para Oficina";"0001";"0,00";"53,95";
"2006";"06/04/2013 (Sábado)";"Saída por Venda Balcão";"0006";"164,43";"591,78";
"2006";"08/04/2013 (Segunda-feira)";"Saída para Oficina";"0002";"0,00";"315,39";
"2006";"08/04/2013 (Segunda-feira)";"Saída por Venda Balcão";"0007";"40,92";"850,49";
"2006";"09/04/2013 (Terça-feira)";"Saída por Venda Balcão";"0007";"195,08";"776,20";
"2006";"10/04/2013 (Quarta-feira)";"Saída para Oficina";"0001";"25,65";"250,02";
"2006";"10/04/2013 (Quarta-feira)";"Saída por Venda Balcão";"0007";"73,17";"479,55";
"2006";"11/04/2013 (Quinta-feira)";"Saída por Venda Balcão";"0002";"11,08";"94,67";
"2006";"12/04/2013 (Sexta-feira)";"Saída para Oficina";"0003";"80,65";"960,05";
"2006";"12/04/2013 (Sexta-feira)";"Saída por Venda Balcão";"0002";"0,09";"36,00";
"2006";"13/04/2013 (Sábado)";"Saída por Venda Balcão";"0005";"4,42";"499,87";
"2006";"15/04/2013 (Segunda-feira)";"Saída por Venda Balcão";"0002";"12,86";"85,02";
"2006";"16/04/2013 (Terça-feira)";"Saída para Oficina";"0003";"113,68";"1.044,99";
"2006";"16/04/2013 (Terça-feira)";"Saída por Venda Balcão";"0005";"38,13";"965,57";
"2006";"17/04/2013 (Quarta-feira)";"Saída para Oficina";"0001";"0,00";"53,95";
"2006";"17/04/2013 (Quarta-feira)";"Saída por Venda Balcão";"0005";"0,00";"146,65";
"2006";"18/04/2013 (Quinta-feira)";"Saída por Venda Balcão";"0002";"5,32";"45,07";
"2006";"19/04/2013 (Sexta-feira)";"Saída para Oficina";"0001";"0,00";"53,95";
"2006";"19/04/2013 (Sexta-feira)";"Saída por Venda Balcão";"0004";"20,26";"287,88";
"2006";"20/04/2013 (Sábado)";"Saída para Oficina";"0002";"0,00";"80,35";
"2006";"20/04/2013 (Sábado)";"Saída por Venda Balcão";"0005";"3,52";"193,15";
"2006";"22/04/2013 (Segunda-feira)";"Saída por Venda Atacado";"0001";"0,00";"220,31";
"2006";"22/04/2013 (Segunda-feira)";"Saída por Venda Balcão";"0005";"158,60";"786,80";
"2006";"23/04/2013 (Terça-feira)";"Saída para Oficina";"0001";"0,00";"98,91";
"2006";"23/04/2013 (Terça-feira)";"Saída por Venda Balcão";"0007";"32,61";"555,09";
"2006";"24/04/2013 (Quarta-feira)";"Saída para Oficina";"0001";"0,00";"54,90";
"2006";"24/04/2013 (Quarta-feira)";"Saída por Venda Balcão";"0005";"11,31";"453,79";
"2006";"25/04/2013 (Quinta-feira)";"Saída para Oficina";"0001";"0,00";"58,23";
"2006";"25/04/2013 (Quinta-feira)";"Saída por Venda Balcão";"0005";"116,50";"628,51";
"2006";"26/04/2013 (Sexta-feira)";"Saída para Oficina";"0002";"20,88";"241,86";
"2006";"26/04/2013 (Sexta-feira)";"Saída por Venda Balcão";"0007";"0,91";"552,80";
"2006";"27/04/2013 (Sábado)";"Saída para Oficina";"0002";"0,00";"107,90";
"2006";"27/04/2013 (Sábado)";"Saída por Venda Balcão";"0002";"7,60";"82,60";
"2006";"29/04/2013 (Segunda-feira)";"Saída para Oficina";"0004";"0,00";"176,92";
"2006";"29/04/2013 (Segunda-feira)";"Saída por Venda Balcão";"0002";"0,05";"36,00";
"2006";"02/05/2013 (Quinta-feira)";"Saída para Oficina";"0003";"0,00";"161,85";
"2006";"02/05/2013 (Quinta-feira)";"Saída por Venda Balcão";"0005";"46,01";"468,19";
"2006";"03/05/2013 (Sexta-feira)";"Saída para Oficina";"0005";"25,88";"639,75";
"2006";"03/05/2013 (Sexta-feira)";"Saída por Venda Balcão";"0008";"130,76";"1.169,87";
"2006";"04/05/2013 (Sábado)";"Saída para Oficina";"0004";"37,13";"534,91";
"2006";"04/05/2013 (Sábado)";"Saída por Venda Balcão";"0008";"63,96";"813,54";
"2006";"06/05/2013 (Segunda-feira)";"Saída para Oficina";"0001";"0,00";"14,40";
